03/14/2022,$150.62,108732100,$151.45,$154.12,$150.1
03/15/2022,$155.09,92964300,$150.9,$155.57,$150.38
03/16/2022,$159.59,102300200,$157.05,$160,$154.46
03/17/2022,$160.62,75615380,$158.61,$161,$157.63
03/18/2022,$163.98,123511700,$160.51,$164.48,$159.76
03/21/2022,$165.38,95811350,$163.51,$166.35,$163.015
03/22/2022,$168.82,81532010,$165.51,$169.42,$164.91
03/23/2022,$170.21,98062670,$167.99,$172.64,$167.65
03/24/2022,$174.07,90131420,$171.06,$174.14,$170.21
03/25/2022,$174.72,80546160,$173.88,$175.28,$172.75
03/28/2022,$175.6,90371920,$172.17,$175.73,$172
03/29/2022,$178.96,100589400,$176.69,$179.01,$176.34
03/30/2022,$177.77,92633150,$178.55,$179.61,$176.7
03/31/2022,$174.61,103049300,$177.84,$178.03,$174.4
04/01/2022,$174.31,78751330,$174.03,$174.88,$171.94
04/04/2022,$178.44,76545980,$174.57,$178.49,$174.44
04/05/2022,$175.06,73401790,$177.5,$178.3,$174.415
04/06/2022,$171.83,89058780,$172.36,$173.63,$170.13
04/07/2022,$172.14,77594650,$171.16,$173.36,$169.85
04/08/2022,$170.09,76575510,$171.78,$171.78,$169.2
04/11/2022,$165.75,72246710,$168.71,$169.03,$165.5
04/12/2022,$167.66,79265180,$168.02,$169.87,$166.64
Date,Close/Last,Volume,Open,High,Low
